district,price,count,mean_price
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,4250,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,750,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,1780,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,380,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,4500,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,80,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,2350,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,5500,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,1100,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,1780,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+5C71><U+5340>,12000,11,3133.636364
<U+53F0><U+5317><U+5E02><U+4E2D><U+6B63><U+5340>,1200,2,1694
<U+53F0><U+5317><U+5E02><U+4E2D><U+6B63><U+5340>,2188,2,1694
<U+53F0><U+5317><U+5E02><U+4FE1><U+7FA9><U+5340>,7350,4,3547.5
<U+53F0><U+5317><U+5E02><U+4FE1><U+7FA9><U+5340>,2990,4,3547.5
<U+53F0><U+5317><U+5E02><U+4FE1><U+7FA9><U+5340>,1980,4,3547.5
<U+53F0><U+5317><U+5E02><U+4FE1><U+7FA9><U+5340>,1870,4,3547.5
<U+53F0><U+5317><U+5E02><U+5167><U+6E56><U+5340>,1480,1,1480
<U+53F0><U+5317><U+5E02><U+5317><U+6295><U+5340>,1350,3,5286.666667
<U+53F0><U+5317><U+5E02><U+5317><U+6295><U+5340>,13230,3,5286.666667
<U+53F0><U+5317><U+5E02><U+5317><U+6295><U+5340>,1280,3,5286.666667
<U+53F0><U+5317><U+5E02><U+5357><U+6E2F><U+5340>,6088,2,4234
<U+53F0><U+5317><U+5E02><U+5357><U+6E2F><U+5340>,2380,2,4234
<U+53F0><U+5317><U+5E02><U+58EB><U+6797><U+5340>,1880,1,1880
<U+53F0><U+5317><U+5E02><U+5927><U+5B89><U+5340>,4500,3,4110
<U+53F0><U+5317><U+5E02><U+5927><U+5B89><U+5340>,5250,3,4110
<U+53F0><U+5317><U+5E02><U+5927><U+5B89><U+5340>,2580,3,4110
<U+53F0><U+5317><U+5E02><U+6587><U+5C71><U+5340>,2380,1,2380
<U+53F0><U+5317><U+5E02><U+677E><U+5C71><U+5340>,2400,1,2400
<U+53F0><U+5317><U+5E02><U+842C><U+83EF><U+5340>,3380,1,3380
